date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:17	4735/4735	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202017%2008:35:53%20GMT	http://topspeedsnail.com/kali-linux-install-adobe-flash/	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/kali-linux-install-adobe-flash/index.html	(from http://topspeedsnail.com/)
11:47:19	7393/7393	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202017%2008:35:53%20GMT	http://topspeedsnail.com/kali-linux-crack-wifi-password-wps/	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/kali-linux-crack-wifi-password-wps/index.html	(from http://topspeedsnail.com/)
11:47:19	5115/5115	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202017%2008:35:53%20GMT	http://topspeedsnail.com/kali-linux-crunch-generation-wordlist/	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/kali-linux-crunch-generation-wordlist/index.html	(from http://topspeedsnail.com/)
11:47:21	5191/5191	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202017%2008:35:53%20GMT	http://topspeedsnail.com/kali-linux-crack-wifi-password-wep/	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/kali-linux-crack-wifi-password-wep/index.html	(from http://topspeedsnail.com/)
11:47:21	10500/10500	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202017%2008:35:53%20GMT	http://topspeedsnail.com/kali-linux-crack-wifi-wpa/	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/kali-linux-crack-wifi-wpa/index.html	(from http://topspeedsnail.com/)
11:47:23	5329/5329	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202017%2008:35:53%20GMT	http://topspeedsnail.com/kali-linux-findmyhash/	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/kali-linux-findmyhash/index.html	(from http://topspeedsnail.com/)
11:47:23	5413/5413	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202017%2008:35:53%20GMT	http://topspeedsnail.com/kali-linux-acccheck-crack-windows-passwd-smb/	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/kali-linux-acccheck-crack-windows-passwd-smb/index.html	(from http://topspeedsnail.com/)
11:47:27	8082/8082	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202017%2008:35:53%20GMT	http://topspeedsnail.com/wireshark-hack-http-post-password/	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/wireshark-hack-http-post-password/index.html	(from http://topspeedsnail.com/)
11:47:29	122079/122079	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Feb%202017%2008:35:48%20GMT	http://topspeedsnail.com/images/2016/5/Screen%20Shot%202016-05-23%20at%2018.50.18.png	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/images/2016/5/Screen%20Shot%202016-05-23%20at%2018.50.18.png	(from http://topspeedsnail.com/fake-wifi-access-point-and-capture-all-data/)
11:47:31	33474/33474	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Feb%202017%2008:35:48%20GMT	http://topspeedsnail.com/images/2016/5/Screen%20Shot%202016-05-24%20at%2009.20.04.png	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/images/2016/5/Screen%20Shot%202016-05-24%20at%2009.20.04.png	(from http://topspeedsnail.com/fake-wifi-access-point-and-capture-all-data/)
11:47:32	6729/6729	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202017%2008:35:53%20GMT	http://topspeedsnail.com/kali-linux-metasploit-hack-android/	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/kali-linux-metasploit-hack-android/index.html	(from http://topspeedsnail.com/)
11:47:37	7027/7027	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202017%2008:35:53%20GMT	http://topspeedsnail.com/kali-linux-ettercap-arp-spoof-attack/	/Users/czwstc/Downloads/topspeedsnail.com/topspeedsnail.com/kali-linux-ettercap-arp-spoof-attack/index.html	(from http://topspeedsnail.com/)
